arxiv_id	published	updated	pillar	branch	title	authors	categories	inclusion_note	source_url	pdf_url	local_file	abstract
2605.08061	2026-05-08	2026-05-08	training	post-training/structured rewards	Rubric-Grounded RL: Structured Judge Rewards for Generalizable Reasoning	Manish Bhattarai; Ismael Boureima; Nishath Rajiv Ranasinghe; Scott Pakin; Dan O'Malley	cs.AI	Rubric-decomposed rewards transfer beyond the source corpus	https://arxiv.org/abs/2605.08061	https://arxiv.org/pdf/2605.08061	paper/2026/2605.08061_rubric_grounded_rl_structured_judge_rewards_for_generalizable_reasoning.pdf	We argue that decomposing reward into weighted, verifiable criteria and using an LLM judge to score them provides a partial-credit optimization signal: instead of a binary outcome or a single holistic score, each response is graded along multiple task-specific criteria. We formalize \emph{rubric-grounded reinforcement learning (RL)}: a framework in which the policy is optimized against a structured, multi-criterion reward produced by a frozen LLM judge that conditions on auxiliary grounding the policy never sees. We instantiate the framework by deriving rubrics from an Office of Scientific and Technical Information (OSTI)-derived corpus of roughly 100,000 scientific and technical documents and training Llama-3.1-8B-Instruct with Group Relative Policy Optimization (GRPO). With GRPO-based training, the model achieves $71.7\%$ normalized reward on held-out rubric evaluation. The GRPO-tuned policy also improves over the base model on four reasoning benchmarks not derived from the training corpus -- GSM8K, MATH, GPQA Main, and GPQA Diamond. These results provide evidence that structured, document-grounded rewards can improve held-out rubric performance and induce transferable reasoning behaviors beyond the corpus used to construct the training environment.
2604.17696	2026-04-20	2026-04-20	training	post-training/hybrid and self-improvement	Stratagem: Learning Transferable Reasoning via Trajectory-Modulated Game Self-Play	Xiachong Feng; Deyi Yin; Xiaocheng Feng; Yi Jiang; Libo Qin; Yangfan Ye; Lei Huang; Weitao Ma; Qiming Li; Yuxuan Gu; Bing Qin; Lingpeng Kong	cs.AI	Trajectory rewards select domain-general game reasoning	https://arxiv.org/abs/2604.17696	https://arxiv.org/pdf/2604.17696	paper/2026/2604.17696_stratagem_learning_transferable_reasoning_via_trajectory_modulated_game.pdf	Games offer a compelling paradigm for developing general reasoning capabilities in language models, as they naturally demand strategic planning, probabilistic inference, and adaptive decision-making. However, existing self-play approaches rely solely on terminal game outcomes, providing no mechanism to distinguish transferable reasoning patterns from game-specific heuristics. We present STRATAGEM, which addresses two fundamental barriers to reasoning transfer: domain specificity, where learned patterns remain anchored in game semantics, and contextual stasis, where static game contexts fail to cultivate progressive reasoning. STRATAGEM selectively reinforces trajectories exhibiting abstract, domain-agnostic reasoning through a Reasoning Transferability Coefficient, while incentivizing adaptive reasoning development via a Reasoning Evolution Reward. Experiments across mathematical reasoning, general reasoning, and code generation benchmarks demonstrate substantial improvements, with particularly strong gains on competition-level mathematics where multi-step reasoning is critical. Ablation studies and human evaluation confirm that both components contribute to transferable reasoning.
2604.09258	2026-04-10	2026-05-27	contextual-background	pre-training optimization	Nexus: Same Pretraining Loss, Better Downstream Generalization via Common Minima	Huanran Chen; Huaqing Zhang; Xiao Li; Yinpeng Dong; Ke Shen; Jun Zhu	cs.LG	Background optimizer study without an isolated reasoning transfer boundary	https://arxiv.org/abs/2604.09258	https://arxiv.org/pdf/2604.09258	paper/2026/2604.09258_nexus_same_pretraining_loss_better_downstream_generalization_via_common.pdf	"The foundational capabilities of large language models are acquired during pretraining on internet-scale, highly heterogeneous data mixtures. In this work, we investigate an interesting geometric question regarding the converged state of pretraining: Does the model converge to a common minimizer across all data sources (e.g., \cref{fig:cwa_illustration:close}), or merely a minimizer of the summed loss (e.g., \cref{fig:cwa_illustration:distant})? We hypothesize that the geometric ""closeness"" of task-specific minima is intrinsically linked to downstream generalization. We reveal that standard optimizers (e.g., AdamW) often converge to points where task-specific minima are distant from each other. To address this, we propose the Nexus optimizer, which encourages the closeness of these minima by maximizing gradient similarity during optimization. Experiments across models ranging from 130M to 3B parameters, various data mixtures and hyperparameter schedules, show that Nexus \textit{significantly boosts downstream performance}, despite \textit{achieving the same pretraining loss} (see \cref{fig:demo:benchmark}). Notably, on the 3B model, Nexus reduces the out-of-distribution loss by 0.012 and yields up to a 15.0\% accuracy improvement on complex reasoning tasks (e.g., GSM8k). This finding challenges the reliance on pretraining loss as the sole proxy for model evaluation and demonstrates the importance of implicit biases in unlocking downstream generalization."
2604.08926	2026-04-10	2026-04-10	training	post-training/SFT plus RL	Bridging SFT and RL: Dynamic Policy Optimization for Robust Reasoning	Taojie Zhu; Dongyang Xu; Ding Zou; Sen Zhao; Qiaobo Hao; Zhiguo Yang; Yonghong He	cs.LG	Dynamic balance between stable imitation and exploration	https://arxiv.org/abs/2604.08926	https://arxiv.org/pdf/2604.08926	paper/2026/2604.08926_bridging_sft_and_rl_dynamic_policy_optimization_for_robust_reasoning.pdf	Post-training paradigms for Large Language Models (LLMs), primarily Supervised Fine-Tuning (SFT) and Reinforcement Learning (RL), face a fundamental dilemma: SFT provides stability (low variance) but suffers from high fitting bias, while RL enables exploration (low bias) but grapples with high gradient variance. Existing unified optimization strategies often employ naive loss weighting, overlooking the statistical conflict between these distinct gradient signals. In this paper, we provide a rigorous theoretical analysis of this bias-variance trade-off and propose \textbf{DYPO} (Dynamic Policy Optimization), a unified framework designed to structurally mitigate this conflict. DYPO integrates three core components: (1) a \textit{Group Alignment Loss (GAL)} that leverages intrinsic group dynamics to significantly reduce RL gradient variance; (2) a \textit{Multi-Teacher Distillation} mechanism that corrects SFT fitting bias via diverse reasoning paths; and (3) a \textit{Dynamic Exploitation-Exploration Gating} mechanism that adaptively arbitrates between stable SFT and exploratory RL based on reward feedback. Theoretical analysis confirms that DYPO linearly reduces fitting bias and minimizes overall variance. Extensive experiments demonstrate that DYPO significantly outperforms traditional sequential pipelines, achieving an average improvement of 4.8\% on complex reasoning benchmarks and 13.3\% on out-of-distribution tasks. Our code is publicly available at https://github.com/Tocci-Zhu/DYPO.
2603.27226	2026-03-28	2026-03-28	training	curriculum learning	Rethinking Easy-to-Hard: Limits of Curriculum Learning in Post-Training for Deductive Reasoning	Maximilian Mordig; Andreas Opedal; Weiyang Liu; Bernhard Schölkopf	cs.CL	Negative result on easy-to-hard ordering for deduction	https://arxiv.org/abs/2603.27226	https://arxiv.org/pdf/2603.27226	paper/2026/2603.27226_rethinking_easy_to_hard_limits_of_curriculum_learning_in_post_training_f.pdf	Curriculum learning (CL), motivated by the intuition that learning in increasing order of difficulty should ease generalization, is commonly adopted both in pre-training and post-training of large language models (LLMs). The intuition of CL is particularly compelling for compositional reasoning, where complex problems are built from elementary inference rules; however, the actual impact of CL on such tasks remains largely underexplored. We present a systematic empirical study of CL for post-training of LLMs, using synthetic arithmetic and logical benchmarks where difficulty is characterized by reasoning complexity rather than surface-level proxies. Surprisingly, across multiple model families and curriculum schedules, we find no robust advantage in difficulty-based sequencing over standard random sampling in either accuracy or response length. These findings persist across both supervised fine-tuning (SFT) and reinforcement learning (RL) methods. Our study suggests that, in the context of deductive reasoning, the specific ordering of training examples plays a negligible role in achieving compositional generalization, challenging the practical utility of curriculum-based post-training.
2603.02091	2026-03-02	2026-03-02	training	synthetic data	Learning from Synthetic Data Improves Multi-hop Reasoning	Anmol Kabra; Yilun Yin; Albert Gong; Kamilė Stankevičiūtė; Dongyoung Go; Johann Lee; Katie Z. Luo; Carla P. Gomes; Kilian Q. Weinberger	cs.LG; cs.AI; cs.CL	Rule-generated fictional knowledge teaches multi-hop composition	https://arxiv.org/abs/2603.02091	https://arxiv.org/pdf/2603.02091	paper/2026/2603.02091_learning_from_synthetic_data_improves_multi_hop_reasoning.pdf	Reinforcement Learning (RL) has been shown to significantly boost reasoning capabilities of large language models (LLMs) in math, coding, and multi-hop reasoning tasks. However, RL fine-tuning requires abundant high-quality verifiable data, often sourced from human annotations, generated from frontier LLMs, or scored by LLM-based verifiers. All three have considerable limitations: human-annotated datasets are small and expensive to curate, LLM-generated data is hallucination-prone and costly, and LLM-based verifiers are inaccurate and slow. In this work, we investigate a cheaper alternative: RL fine-tuning on rule-generated synthetic data for multi-hop reasoning tasks. We discover that LLMs fine-tuned on synthetic data perform significantly better on popular real-world question-answering benchmarks, despite the synthetic data containing only fictional knowledge. On stratifying performance by question difficulty, we find that synthetic data teaches LLMs to compose knowledge -- a fundamental and generalizable reasoning skill. Our work highlights rule-generated synthetic reasoning data as a free and scalable resource to improve LLM reasoning capabilities.
2602.08658	2026-02-09	2026-02-10	training	reasoning-skill mixtures	Fundamental Reasoning Paradigms Induce Out-of-Domain Generalization in Language Models	Mingzi Cao; Xingwei Tan; Mahmud Elahi Akhter; Marco Valentino; Maria Liakata; Xi Wang; Nikolaos Aletras	cs.CL	Deduction, induction, and abduction transfer to natural tasks	https://arxiv.org/abs/2602.08658	https://arxiv.org/pdf/2602.08658	paper/2026/2602.08658_fundamental_reasoning_paradigms_induce_out_of_domain_generalization_in_l.pdf	Deduction, induction, and abduction are fundamental reasoning paradigms, core for human logical thinking. Although improving Large Language Model (LLM) reasoning has attracted significant research efforts, the extent to which the fundamental paradigms induce generalization has yet to be systematically explored. In this study, we shed light on how the interplay between these core paradigms influences LLMs' reasoning behavior. To this end, we first collect a new dataset of reasoning trajectories from symbolic tasks, each targeting one of the three fundamental paradigms, to abstract from concrete world knowledge. Then, we investigate effective ways for inducing these skills into LLMs. We experiment with a battery of methods including simple fine-tuning, and more complex approaches to increase model depth, or transform a dense model to a mixture-of-experts. We comprehensively evaluate induced models on realistic out-of-domain tasks, that are entirely formulated in natural language and contain real-world knowledge. Our results reveal that our approach yields strong generalizability with substantial performance gains (up to $14.60$) across realistic tasks.
2602.06475	2026-02-06	2026-05-13	training	post-training/causal rewards	Towards Generalizable Reasoning: Group Causal Counterfactual Policy Optimization for LLM Reasoning	Jingyao Wang; Peizheng Guo; Wenwen Qiang; Jiahuan Zhou; Huijie Guo; Changwen Zheng; Hui Xiong	cs.LG	Counterfactual robustness as a process reward	https://arxiv.org/abs/2602.06475	https://arxiv.org/pdf/2602.06475	paper/2026/2602.06475_towards_generalizable_reasoning_group_causal_counterfactual_policy_optim.pdf	Large language models (LLMs) excel at complex tasks with advances in reasoning capabilities. However, existing reward mechanisms remain tightly coupled to final correctness and pay little attention to the underlying reasoning process: trajectories with sound reasoning but wrong answers receive low credit, while lucky guesses with flawed logic may be highly rewarded, affecting reasoning generalization. From a causal perspective, we interpret multi-candidate reasoning for a fixed question as a family of counterfactual experiments with theoretical supports. Building on this, we propose Group Causal Counterfactual Policy Optimization to explicitly train LLMs to learn generalizable reasoning patterns. It proposes an episodic causal counterfactual reward that jointly captures (i) robustness, encouraging the answer distribution induced by a reasoning step to remain stable under counterfactual perturbations; and (ii) effectiveness, enforcing sufficient variability so that the learned reasoning strategy can transfer across questions. We then construct token-level advantages from this reward and optimize the policy, encouraging LLMs to favor reasoning patterns that are process-valid and counterfactually robust. Extensive experiments on diverse benchmarks demonstrate its advantages.
2601.04992	2026-01-08	2026-01-09	training	post-training/negative traces	Learning from Mistakes: Negative Reasoning Samples Enhance Out-of-Domain Generalization	Xueyun Tian; Minghua Ma; Bingbing Xu; Nuoyan Lyu; Wei Li; Heng Dong; Zheng Chu; Yuanzhuo Wang; Huawei Shen	cs.CL	Incorrect chains reduce overfitting and increase exploration	https://arxiv.org/abs/2601.04992	https://arxiv.org/pdf/2601.04992	paper/2026/2601.04992_learning_from_mistakes_negative_reasoning_samples_enhance_out_of_domain.pdf	Supervised fine-tuning (SFT) on chain-of-thought (CoT) trajectories demonstrations is a common approach for enabling reasoning in large language models. Standard practices typically only retain trajectories with correct final answers (positives) while ignoring the rest (negatives). We argue that this paradigm discards substantial supervision and exacerbates overfitting, limiting out-of-domain (OOD) generalization. Specifically, we surprisingly find that incorporating negative trajectories into SFT yields substantial OOD generalization gains over positive-only training, as these trajectories often retain valid intermediate reasoning despite incorrect final answers. To understand this effect in depth, we systematically analyze data, training dynamics, and inference behavior, identifying 22 recurring patterns in negative chains that serve a dual role: they moderate loss descent to mitigate overfitting during training and boost policy entropy by 35.67% during inference to facilitate exploration. Motivated by these observations, we further propose Gain-based LOss Weighting (GLOW), an adaptive, sample-aware scheme that exploits such distinctive training dynamics by rescaling per-sample loss based on inter-epoch progress. Empirically, GLOW efficiently leverages unfiltered trajectories, yielding a 5.51% OOD gain over positive-only SFT on Qwen2.5-7B and boosting MMLU from 72.82% to 76.47% as an RL initialization.
2601.03676	2026-01-07	2026-01-07	training	post-training/hybrid and self-improvement	Towards Compositional Generalization of LLMs via Skill Taxonomy Guided Data Synthesis	Yifan Wei; Li Du; Xiaoyan Yu; Yang Feng; Angsheng Li	cs.CL; cs.AI	Skill-taxonomy-guided compositional data generation	https://arxiv.org/abs/2601.03676	https://arxiv.org/pdf/2601.03676	paper/2026/2601.03676_towards_compositional_generalization_of_llms_via_skill_taxonomy_guided_d.pdf	Large Language Models (LLMs) and agent-based systems often struggle with compositional generalization due to a data bottleneck in which complex skill combinations follow a long-tailed, power-law distribution, limiting both instruction-following performance and generalization in agent-centric tasks. To address this challenge, we propose STEPS, a Skill Taxonomy guided Entropy-based Post-training data Synthesis framework for generating compositionally challenging data. STEPS explicitly targets compositional generalization by uncovering latent relationships among skills and organizing them into an interpretable, hierarchical skill taxonomy using structural information theory. Building on this taxonomy, we formulate data synthesis as a constrained information maximization problem, selecting skill combinations that maximize marginal structural information within the hierarchy while preserving semantic coherence. Experiments on challenging instruction-following benchmarks show that STEPS outperforms existing data synthesis baselines, while also yielding improved compositional generalization in downstream agent-based evaluations.
