arxiv_id	pillar	branch	inclusion_note
2608.31067	architecture	recurrence and halting	Circuit reduction with learned shallow-to-unbounded length transfer
2608.18222	architecture	recurrent dynamics	Settling regimes predict safe extra test-time depth
2608.18171	architecture	recurrent tool use	Looped models improve multi-step compositional tool calling
2607.18759	analysis	theory	Implicit bias explains relative-position length transfer
2607.07678	architecture	positional structure	Training data determines RoPE frequency use and extrapolation
2606.29983	architecture	recurrence and halting	Stochastic stopping stabilizes loop-count extrapolation
2605.21488	architecture	equilibrium computation	Learned attractors support scalable iterative reasoning
2604.26522	architecture	neuro-symbolic modularity	Causal graphs, logic induction, and theorem verification
2604.25800	architecture	structured scratchpads	Formal barriers and signpost encodings for universal reasoning
2604.07822	architecture	recurrent depth	Systematic and depth generalization with shared computation
2603.29069	contextual-comparison	non-LLM computational representation	Neural cellular automaton comparison for representation-induced locality
2603.21676	architecture	recurrent depth	Stable latent iteration reveals task-specific frontiers
2603.19954	analysis	theory	C*-RASP links planning structure to learnable verification
2602.14050	architecture	positional structure	Random float positions reduce unseen-index shift
2603.02238	analysis	theory	Computability and limits of length-generalization bounds
2602.07599	architecture	hybrid recurrence	Weighted-automata state augments attention for regular languages
2609.04463	analysis	empirical mechanisms	Circuit overlap predicts cross-format arithmetic transfer
2608.07261	analysis	empirical mechanisms	Layer mismatch explains asymmetric two-hop generalization
2608.05660	inference	verification and error detection	Cross-benchmark detector transfer; not generator generalization
2608.04980	analysis	behavior and controlled mechanisms	Tiny-model traces close a Dyck OOD gap
2607.12733	analysis	behavioral observations	Abductive detection-attribution gap under interacting mutations
2607.08393	analysis	empirical mechanisms	Self-patching studies the knowing-using gap
2606.03606	analysis	behavioral observations	Schema-preserving numeric remapping exposes brittleness
2605.16052	analysis	contamination and hybrid controls	Separates legal translation from compositional reasoning
2605.14754	analysis	behavioral observations	Reasoning collapse as scientific composition order rises
2605.07120	analysis	theory	Fresh-symbol margin transfer under token collisions
2605.04396	analysis	empirical mechanisms	Critical training windows choose reasoning or memorization
2604.15306	analysis	behavioral observations	Separates spatial transfer from recursive length failure
2604.11778	analysis	behavioral observations	Domain-general benchmark with controlled variants
2603.09678	analysis	contamination-resistant evaluation	Unseen esoteric languages test algorithm transfer
2602.16967	analysis	empirical mechanisms	Causal loss-geometry signal precedes grokking
2602.15460	analysis	behavioral observations	Controlled visual planning across map size and format
2602.08857	analysis	empirical mechanisms	Causal decompilation extracts compact RASP programs
2601.18858	analysis	empirical mechanisms	Hidden-state homomorphism predicts and improves composition
2601.17869	analysis	behavioral observations	Structural learning does not ensure test-time composition
2601.16823	analysis	behavioral observations	Chess separates performance with dense and sparse priors
2601.13392	analysis	behavioral observations	Unseen automata tasks separate recall from global consistency
2601.09049	analysis	empirical mechanisms	Tests transferability claims of grokked generalization circuits
2607.07646	analysis	empirical mechanisms	Controlled evidence that RL composes primitive rewrite procedures
2606.27721	analysis	theoretical analysis	Curricula reduce supervision and reference-coverage requirements
2606.18089	analysis	mechanisms and explanations	Latent-module account of complementary SFT and RL roles
2606.16517	analysis	behavioral observations	Controlled CPT-SFT-RL study across biological ID and OOD tasks
2605.29190	analysis	empirical mechanisms	Reasoning primitives explain puzzle-to-math transfer and suppression
2604.06628	analysis	behavioral observations	SFT transfer depends on optimization data and model capability
2603.24472	analysis	empirical mechanisms	Epistemic verbalization predicts self-distillation OOD failures
2602.01365	analysis	behavioral observations	Cross-domain GRPO transfer is asymmetric and order-sensitive
2601.18217	analysis	behavioral observations	Environment properties predict cross-domain transfer in RL-trained agents
2512.20760	analysis	behavioral observations	RLVR generalization across causal query level and graph complexity
2512.01775	analysis	empirical mechanisms	Expression-tree analysis isolates compositional RL transfer
2512.07783	analysis	behavioral observations	Controlled pre-training mid-training and RL capability boundary
2509.21016	analysis	behavioral observations	Controlled algorithm acquisition and four transfer axes
2509.12235	analysis	empirical mechanisms	Singular-vector rotation tracks SFT forgetting and RL recovery
2507.00432	analysis	empirical mechanisms	Representation drift explains math-to-general transfer differences
2506.19733	analysis	behavioral observations	Observational and interventional audit of unseen-domain RL transfer
2505.22756	analysis	empirical mechanisms	Separates planning execution and verification gains under RL
2504.20571	analysis	behavioral observations	One-shot RLVR shows cross-category and post-saturation transfer
2504.13837	analysis	behavioral observations	Large-pass-k controls test whether RL expands model support
2501.17161	analysis	behavioral observations	Controlled comparison of SFT and RL on unseen text and visual variants
2511.21692	analysis	behavioral observations	Cross-difficulty transfer is limited and non-monotonic
2511.07378	analysis	theory	Optimization guarantee for CoT length generalization
2510.20607	architecture	energy-based composition	Iterative compositional energy minimization
2510.14826	inference	tool use	Tools unlock length generalization in state-space models
2510.14095	architecture	recurrent latent reasoning	Recursive latent computation for OOD transfer
2509.25140	inference	memory	Reasoning memory supports agent self-improvement
2508.01191	analysis	behavioral observations	Data-distribution account of apparent CoT reasoning
2507.17512	training	post-training/multi-domain RL	Measures cross-domain help and interference
2506.18880	analysis	behavioral observations	Exploratory, compositional, and transformative math transfer
2506.09251	analysis	behavioral observations	Transfer of length extrapolation across related tasks
2502.20129	analysis	empirical mechanisms	Finite-state circuits inside CoT transformers
2501.08537	training	regularization	Complexity control selects reasoning over memorization
2409.15647	architecture	recurrent depth	Foundational looped-transformer length generalization
2406.06467	analysis	theory	Globality barrier and inductive scratchpads
2405.15071	analysis	empirical mechanisms	Grokking without systematic transfer on unseen facts
2310.16028	analysis	theory	RASP-Generalization conjecture for algorithmic tasks
2305.18741	analysis	behavioral observations	Structural grokking after prolonged training
2207.04901	analysis	behavioral observations	Foundational empirical study of length extrapolation
2205.10625	inference	prompt decomposition	Least-to-most decomposition on harder instances
1807.03819	architecture	recurrent depth	Universal Transformer as adaptive recurrent computation
2510.10182	related-survey	inductive reasoning	Neighboring survey limited to induction
2509.16330	related-survey	agent generalizability	Neighboring survey limited to agent systems
2608.13433	analysis	theoretical analysis	Algebraic characterization of transformer length generalization
2607.09061	architecture	locality and recurrence	Local recurrent perception for visual length generalization
2605.19944	analysis	theoretical analysis	Measure-theoretic bounds for structural OOD reasoning
2510.15990	training	post-training/RL	Tests whether GRPO exceeds the pretraining capability boundary
2502.08482	architecture	recurrent depth	Loop-aligned reasoning transfers length-general traces
2210.03050	related-survey	NLP generalization	Foundational taxonomy of distribution shifts in NLP
2108.13624	related-survey	OOD generalization	Foundational survey of out-of-distribution generalization
1711.00350	analysis	behavioral observations	Foundational SCAN study of systematic compositional generalization
2511.00066	training	post-training/RL	Sharpness-guided GRPO with cross-benchmark and out-domain evaluation
